"","N1","N2","N3","T1","T2","T3"
"MLXIPL",68.2570707034149,234.991101952147,0,0.561611635404367,14.2050546189033,0.675140621822497
"BAZ1B",324.561949544211,184.983509615786,7.01999539926158,1251.56032582545,845.392337728189,618.05850644597
"RANBP9",311.857468589235,738.1427145007,54.5992415089978,865.971159402743,1359.91038551272,607.284906375596
"ETV7",100.590889564883,349.940808534944,0,60.6076691565974,301.948027768619,251.821016097455
"SPRTN",63.8290315181006,102.351588998406,2.2324545705585,319.492288601566,258.281111144996,241.078695604886
"EEF1AKNMT",112.468191398622,35.3879171092274,7.70379526735823,308.602962274882,935.736297838042,253.901592439716
"DYRK4",38.1574238494762,45.7088725475284,0,835.768407400589,760.577867404803,622.24041991222
"ZNF207",815.581384333617,817.659254980584,39.5387179877818,1676.16450971337,3365.05218682569,1103.22316609177
"UQCRC1",309.607351813893,382.849773910635,30.3208993791496,6543.095603429,6197.26816346191,3176.46181765802
"STARD3NL",233.345520467914,312.101860675278,3.11045626321366,706.603971386867,1681.70594773315,1327.8004311499
"CD9",3568.29447029789,167.518509661446,33.9425888691236,13575.1532272366,76671.6600421976,53772.1395183158
"HHATL",18.6673812062255,55.4552573102316,0,0,0,0
"NCAPD2",158.68587254085,67.3348836480688,40.0064799409988,769.010151057807,1391.7051543567,349.572464841731
"IFFO1",20.2557015353501,44.3316553437683,2.67796606256263,51.0977873126973,5.29351615163737,0.938594941961719
"GIPR",140.752925056427,195.969141384741,5.14069783864153,253.396839243754,79.5704717219804,684.78746506584
"PHF7",56.9853600093582,79.6294014092208,12.5648806509843,227.567440498826,172.455762541615,112.211956041878
"SEMA3G",54.2676186269257,130.474819404673,1.88624141222879,46.9203590784793,9.59731152201496,36.9463715829179
"NISCH",282.599616893695,369.104607414063,36.3566509004729,808.220116176377,601.099214268264,443.651954121623
"STAB1",78.6168735517242,289.255107576019,9.93123971713573,81.5126285281679,9.41346636279251,48.8176633859026
"FUZ",136.940132453524,304.976909665245,3.49908593281705,633.571528188744,1063.92859232361,568.48037562534
"SLC6A13",59.2856142212621,167.968057105936,4.81746342975849,0,5.15594739390382,0
"IDS",130.116170449438,920.156595434084,92.7853650095419,785.328389860068,768.078155690476,996.94879362435
"PRSS3",46.3540974890597,21.9911417085452,0,134.71912844459,2.68619205218472,0
"ZNF200",76.335753061194,1128.5814377728,3.00883494120719,260.202414457735,350.439214231506,101.991838412395
"CD4",72.3287886191659,156.310817802094,113.432148088178,58.4265560167425,470.914153497569,52.9280213577937
"LRRC23",64.1052303294115,165.568618054945,0,144.969781298348,356.80960205281,299.517251256971
"BTK",33.3409966948891,541.31521539904,26.4556728151221,4.3930510147186,8.80061915474782,4.68183309028077
"HFE",254.66332070359,36.5035794361932,0,127.376676565492,232.990247444124,215.82825642195
